Gene_ID,Name,s_cas13d_alfa_alone_4h_1.CPM,s_cas13d_alfa_alone_4h_2.CPM,s_cas13d_alfa_alone_4h_3.CPM,s_cas13d_alfa_g2_4h_1.CPM,s_cas13d_alfa_g2_4h_2.CPM,s_cas13d_alfa_g2_4h_3.CPM,s_cas13d_alfa_g7_4h_1.CPM,s_cas13d_alfa_g7_4h_2.CPM,s_cas13d_alfa_g7_4h_3.CPM,s_cth1_5beta_oe_4h_1.CPM,s_cth1_5beta_oe_4h_2.CPM,s_cth1_5beta_oe_4h_3.CPM,s_cth1_full_oe_4h_1.CPM,s_cth1_full_oe_4h_2.CPM,s_cth1_full_oe_4h_3.CPM,s_cth1_orf_oe_4h_1.CPM,s_cth1_orf_oe_4h_2.CPM,s_cth1_orf_oe_4h_3.CPM,s_gfp_oe_4h_1.CPM,s_gfp_oe_4h_2.CPM,s_gfp_oe_4h_3.CPM,s_cas13d_alfa_alone_4h_1.TPM,s_cas13d_alfa_alone_4h_2.TPM,s_cas13d_alfa_alone_4h_3.TPM,s_cas13d_alfa_g2_4h_1.TPM,s_cas13d_alfa_g2_4h_2.TPM,s_cas13d_alfa_g2_4h_3.TPM,s_cas13d_alfa_g7_4h_1.TPM,s_cas13d_alfa_g7_4h_2.TPM,s_cas13d_alfa_g7_4h_3.TPM,s_cth1_5beta_oe_4h_1.TPM,s_cth1_5beta_oe_4h_2.TPM,s_cth1_5beta_oe_4h_3.TPM,s_cth1_full_oe_4h_1.TPM,s_cth1_full_oe_4h_2.TPM,s_cth1_full_oe_4h_3.TPM,s_cth1_orf_oe_4h_1.TPM,s_cth1_orf_oe_4h_2.TPM,s_cth1_orf_oe_4h_3.TPM,s_gfp_oe_4h_1.TPM,s_gfp_oe_4h_2.TPM,s_gfp_oe_4h_3.TPM,s_cas13d_alfa_g2_4h_VS_s_cas13d_alfa_alone_4h.logFC,s_cas13d_alfa_g2_4h_VS_s_cas13d_alfa_alone_4h.logCPM,s_cas13d_alfa_g2_4h_VS_s_cas13d_alfa_alone_4h.F,s_cas13d_alfa_g2_4h_VS_s_cas13d_alfa_alone_4h.PValue,s_cas13d_alfa_g2_4h_VS_s_cas13d_alfa_alone_4h.padj,s_cas13d_alfa_g7_4h_VS_s_cas13d_alfa_alone_4h.logFC,s_cas13d_alfa_g7_4h_VS_s_cas13d_alfa_alone_4h.logCPM,s_cas13d_alfa_g7_4h_VS_s_cas13d_alfa_alone_4h.F,s_cas13d_alfa_g7_4h_VS_s_cas13d_alfa_alone_4h.PValue,s_cas13d_alfa_g7_4h_VS_s_cas13d_alfa_alone_4h.padj,s_cth1_5beta_oe_4h_VS_s_gfp_oe_4h.logFC,s_cth1_5beta_oe_4h_VS_s_gfp_oe_4h.logCPM,s_cth1_5beta_oe_4h_VS_s_gfp_oe_4h.F,s_cth1_5beta_oe_4h_VS_s_gfp_oe_4h.PValue,s_cth1_5beta_oe_4h_VS_s_gfp_oe_4h.padj,s_cth1_full_oe_4h_VS_s_gfp_oe_4h.logFC,s_cth1_full_oe_4h_VS_s_gfp_oe_4h.logCPM,s_cth1_full_oe_4h_VS_s_gfp_oe_4h.F,s_cth1_full_oe_4h_VS_s_gfp_oe_4h.PValue,s_cth1_full_oe_4h_VS_s_gfp_oe_4h.padj,s_cth1_orf_oe_4h_VS_s_gfp_oe_4h.logFC,s_cth1_orf_oe_4h_VS_s_gfp_oe_4h.logCPM,s_cth1_orf_oe_4h_VS_s_gfp_oe_4h.F,s_cth1_orf_oe_4h_VS_s_gfp_oe_4h.PValue,s_cth1_orf_oe_4h_VS_s_gfp_oe_4h.padj
ENSDARG00000044059,lft2,0,0,0,0.115998245013616,0,0,0,0.115124270522105,0.124884407332223,26.8050774635492,26.4435499021258,28.4648861294732,24.3704889113895,26.728548253648,34.1907375971619,19.2102805674683,21.8943378718865,16.167057067277,28.3327521464556,23.8269636518861,17.6565590506293,0,0,0,0.21,0,0,0,0.21,0.23,39.94,38.13,41.57,35.96,38.93,40.18,27.69,33.08,23.88,41.27,33.44,26.74,1.74975207368675,3.77614876724576,0.907462406575714,0.350155654058989,0.520554562663321,2.50754499762113,3.77614876724576,1.8024553310885,0.191806784380273,0.383638024553531,0.244306842786081,3.77614876724576,2.39562466291022,0.134583087603274,0.546095420391247,0.302648345537749,3.77614876724576,3.7159246093351,0.0656456364275079,0.308133781758922,-0.256607032884416,3.77614876724576,2.4385696199592,0.131296357951567,0.426339467436603
ENSDARG00000044061,adora4a,8.07418707676336,6.19702577440819,3.94095465097059,14.1517858916612,13.0001091573687,9.9070208679941,8.30087843162699,11.3973027816884,7.49306443993336,5.84021240825932,4.15779086511412,5.4569988952876,3.11715555843354,2.75385042613343,6.55712775835981,4.00214178488924,3.83150912758013,2.41576714798392,4.8907726919477,4.76539273037722,6.621209643986,16.56,11.6,8.42,27.67,22.16,19.3,15.62,22.56,13.77,8.35,6.14,9.2,4.82,4.76,7.29,6.33,6.53,4.4,9.19,7.85,13.08,1.03473913885756,2.80181070771297,17.7608490612862,0.000382611266374864,0.00220824979235559,0.588691667994383,2.80181070771297,5.21544693997835,0.0328014386096157,0.112397590098087,-0.0804202723544292,2.80181070771297,0.0663989969717254,0.799139248213074,0.95845601498126,-0.407055005274291,2.80181070771297,1.55040652118129,0.226666882962418,0.544104574297084,-0.641779745278456,2.80181070771297,3.64196423746306,0.0699771473101931,0.30762644963947
ENSDARG00000044062,ctbp2a,122.805780861094,113.901333733623,111.455123722762,133.861974745713,148.505751455347,146.700116699143,138.893571503843,131.702165477288,128.13140192286,83.4102131128319,65.5267840341985,63.7141492638985,69.8526222867152,78.8897151486459,87.4283701114642,72.3053615803322,82.1037670195742,76.7470640090276,117.54719194095,107.672116826902,105.694124316962,94.13,87.85,85.29,100.6,105.05,108.73,99.15,99.36,96.99,54.83,43.74,40.66,43.44,51.56,44.28,43.11,53.91,49.46,76.43,68.22,70.1,0.301475145980546,6.7096819156271,10.1703589821963,0.00437658033442567,0.0165514502666672,0.195972006727049,6.7096819156271,4.28424719611192,0.0508677910710135,0.15364953233932,-0.63541346369103,6.7096819156271,40.85908264776,0.0000023453534935367,0.000761587329783591,-0.486135035529136,6.7096819156271,24.2682830087891,0.0000695167509217384,0.00819931783240083,-0.515888178240855,6.7096819156271,27.306195252504,0.0000342240072534272,0.00265778218705204
ENSDARG00000044072,TATDN3,2.99526294783157,2.47881030976328,1.23154832842831,1.97197016523148,3.27930681447139,3.42935337738257,2.92284451817852,2.18736113991999,2.12303492464778,3.59397686662112,4.15779086511412,3.68716141573487,4.67573333765031,2.75385042613343,5.93263940042078,3.86873705872626,3.69466951588084,2.41576714798392,4.7221253577426,3.09106555483928,2.82014484836441,5.15,4.07,2.42,2.77,6.22,5.55,4.75,3.54,4.7,4.71,5.31,4.51,8.07,4.12,6.99,5.47,5.39,3.8,5.81,4.44,4.47,0.370922386915575,1.78891174648676,1.22913304166376,0.280006438187124,0.444396082374375,0.11957728698771,1.78891174648676,0.118957672519759,0.733569196411426,0.87682747642683,0.140995323799034,1.78891174648676,0.208526112965756,0.652573584291162,0.914588098549229,0.375871978834703,1.78891174648676,1.59648827723219,0.220132820179378,0.536882708925271,-0.0162098075489952,1.78891174648676,0.0026567839640268,0.95937507448271,0.987833899686832
ENSDARG00000044073,fuca2,32.0362906594159,31.6048314494818,32.1434113719789,55.7951558515495,61.135648469788,60.2042037362719,59.6260281708417,50.539554759204,49.8288785255568,20.0663708386346,18.2942798065021,15.4860779460864,19.26968890668,16.8470849598751,25.6040226755002,16.6755907703718,19.2943852495999,15.6095723408192,26.8149261386098,33.100160316404,25.8717636089082,33.86,33.45,34.99,59.16,62.18,62.17,63.44,54.27,56.83,19.24,17.72,14.09,17.95,15.17,18.45,14.18,17.72,13.77,25.09,30.45,24.17,0.88640840113963,5.05923122069544,52.3944822048315,0.000000371829758786256,0.00000659084002946892,0.740321044410931,5.05923122069544,36.1794449154076,0.00000548868783668635,0.000100234046675319,-0.675087450842122,5.05923122069544,21.8825443297235,0.000125747685823299,0.0106002311545261,-0.477093802064682,5.05923122069544,11.3867592880656,0.00283678936252876,0.067221828999932,-0.728447050237312,5.05923122069544,25.4494914480354,0.0000524744671637562,0.00347327833923141
ENSDARG00000044074,loxl2b,2.99526294783157,3.84215598013308,2.58625148969945,4.9879245355855,3.86489731705556,3.42935337738257,3.27358586035994,5.18059217349471,3.62164781263446,2.39598457774741,3.65885596130042,2.21229684944092,2.97546666941383,3.40181523228247,4.52754059505797,4.00214178488924,3.96834873927942,3.15908011659436,1.85512067625602,2.57588796236607,3.80106479562159,1.46,1.95,1.6,3.06,1.92,1.74,1.68,2.92,1.7,0.95,1.82,0.99,1.56,1.59,1.84,1.64,1.49,1.56,0.78,1.21,1.63,0.385884846443658,1.90656119068844,2.19175600510147,0.153472356298858,0.287122343859294,0.359934221031601,1.90656119068844,1.89906696752925,0.182567000568982,0.371119416603036,-0.0527950123965055,1.90656119068844,0.0283955769161282,0.867780826593617,0.97536579374028,0.353963856065536,1.90656119068844,1.45163359564014,0.241554962825172,0.560377506926719,0.408423897560135,1.90656119068844,1.98908577613929,0.172952874284068,0.485687435737499
ENSDARG00000044083,peli1b,31.6456041879596,30.7372478410646,37.931688515592,28.5355682733496,28.3425803250741,25.5296306982925,28.1762211552409,24.176096809642,28.7234136864112,22.0131083080544,26.7761731713349,20.943076841374,25.3623111345274,26.4045658505735,15.456086858991,21.3447561860759,28.4626392334524,24.3434997219918,24.6225107939436,16.8720661534977,25.0134586550582,35.38,31.94,39.74,28.87,29.03,27.16,29.27,25.94,30.61,19.52,23.6,19.14,20.74,23.79,11.5,19.88,25.46,23.69,21.49,15.02,22.91,-0.282949527638698,4.7073352051378,3.04591551808638,0.0954178787403789,0.200243513551883,-0.308784626904977,4.7073352051378,3.61901161789244,0.0707931692354954,0.193966875539808,0.0695759748970451,4.7073352051378,0.149213478706123,0.703137143697498,0.932857947664298,0.0225969303061568,4.7073352051378,0.015660408060596,0.901590410377427,0.963830500721732,0.162726962715258,4.7073352051378,0.835890529833572,0.370855162438761,0.684344821544675
ENSDARG00000044090,zmpste24,103.662143759736,105.721259711404,105.420536913463,92.1026065408114,93.5773623129513,93.3546197176367,91.3096627478968,93.9414047460374,92.539345833177,149.898785145323,142.529070856112,137.899836948484,147.781511247554,150.16584382504,184.224065592014,161.419718657199,139.439564321577,154.609097470971,125.473616648589,158.932287277986,143.214312299549,77.02,76.48,76.89,66.52,63.46,62.93,64.62,69.65,68.25,90.8,89.4,80.32,92.21,88.57,89.26,97.51,85.7,94.88,73.15,92.65,92.55,-0.174060559433648,6.98938059590787,3.7401112552669,0.0665795942767225,0.150709970276784,-0.180453126224135,6.98938059590787,4.02134705221008,0.0578580602165888,0.168420744222978,0.00693432576316923,6.98938059590787,0.00611607531127952,0.938398037989799,0.986440395493264,0.170694307226484,6.98938059590787,3.73573792737849,0.0667266434462504,0.310654488606185,0.0885469203147475,6.98938059590787,1.00249238959841,0.327998197578738,0.649009833156658
ENSDARG00000044092,atp5if1b,4.94869530511303,4.21397752659757,5.41881264508457,8.69986837602123,7.72979463411112,8.12883763527721,5.02729257126705,5.41084071453892,6.86864240327224,7.33770276935146,6.48615374957802,6.93186346158155,7.36782222902472,7.45159527071398,14.0509880536282,6.2700221296598,7.25249942006239,6.87564495964654,9.6128980496903,8.88681347016293,7.35689960442889,14.23,13.45,16.65,23.91,21.25,20.35,13.93,15.28,19.2,13.41,15.53,14.76,15.32,16.37,25.26,13.59,14.28,15.6,21.57,19.75,17.4,0.750504572953003,2.90053895910597,11.8706672137743,0.00240044825869706,0.0100899870938319,0.2415330210974,2.90053895910597,1.08320953170997,0.309705821280105,0.525739121136349,-0.300859998319013,2.90053895910597,1.94789161629709,0.17726226114471,0.605951861097639,0.166706402523695,2.90053895910597,0.677480995330613,0.41961876677404,0.714766881894704,-0.330304069550732,2.90053895910597,2.35910431011766,0.139345355093057,0.438569602998841
ENSDARG00000044093,rpl13a,126.973103223295,136.33456703698,139.164961112399,175.853339440642,204.956675904462,189.249501196298,159.704224473274,154.036273958576,148.112907096016,285.271913788052,249.633763541452,290.400833103278,261.557689130378,258.537957653468,517.85697082094,286.953565976558,223.459085904941,230.612848511388,293.783656185272,320.698051314575,234.439867394467,335.21,400.59,395.13,555.94,614.19,564.07,471.52,461.14,446.31,740.96,658.13,734.31,687.18,649.39,1209.71,747.49,579.66,550.36,697.59,804.18,613.06,0.5019720306417,7.86238639017772,7.4130950248449,0.0126823340015318,0.0395681774286822,0.198473631370633,7.86238639017772,1.1508087363237,0.295437891306591,0.510130346827351,-0.0396336748039801,7.86238639017772,0.0480921453685551,0.828514255481703,0.965594585864894,0.290243270493824,7.86238639017772,2.59742070154421,0.12182420741348,0.405601751414312,-0.194389477697723,7.86238639017772,1.15210660784365,0.295172776978029,0.621026737185399
ENSDARG00000044094,gfpt2,0.390686471456292,1.48728618585797,0.862083829899818,0.579991225068082,0.23423620103367,0.381039264153619,0.701482684362844,0.460497082088419,0.249768814664445,1.34774132498292,0.997869807627388,0.737432283146974,2.97546666941383,1.13393841076082,0.62448835793903,0.400214178488924,1.64207534039148,0.185828242152609,1.51782600784584,0.257588796236607,0.61307496703574,0.27,0.91,0.26,0.48,0.23,0.38,0.72,0.36,0.13,1.06,0.45,0.25,2.37,0.71,0.33,0.34,1.23,0.17,0.74,0.34,0.56,-1.172216804119,0.133392362980948,2.41585077622077,0.135033966259018,0.26128997517025,-0.931130483177896,0.133392362980948,1.65650813606586,0.212062162566083,0.410875444916323,0.475246189213973,0.133392362980948,0.467440643125004,0.501631521802162,0.860288811390144,1.12943855624273,0.133392362980948,3.29018707215809,0.0839908284594177,0.344912074880337,0.105687581305364,0.133392362980948,0.0208696539934889,0.886510125740375,0.96083520568216
ENSDARG00000044102,znf593,19.5343235728146,19.5826014471299,20.44370225191,24.5916279428867,25.8831002142206,27.8158662832142,21.8628769959753,18.8803803656252,20.4810428024845,29.500560113515,25.611991729103,35.1017766777959,26.070755579626,27.2145218582598,35.4397143130399,27.6147783157357,27.6416015632567,24.9009844484496,25.6343947991741,22.5390196707031,24.2777686946153,50.38,50.66,52.29,65.63,65.33,70.83,55.78,49.87,52.72,65.5,55.88,75.37,58.88,58.25,63.22,57.54,63.06,54.55,51.56,47.33,56.83,0.392753503290499,4.66931519347985,9.84927773262473,0.00492394076677051,0.0181831117722055,0.0391551978223177,4.66931519347985,0.0928730442320833,0.763527138520479,0.895648534503857,0.323781805491627,4.66931519347985,6.69767334473379,0.017081926176933,0.204433271427813,0.294045917490848,4.66931519347985,5.50252001742385,0.0287860399504837,0.205130647751569,0.154359936803837,4.66931519347985,1.4910319579201,0.23546119586272,0.560497690363959
